2023-02-07 08:25:55.715 [main] INFO  eu.mihosoft.freerouting.FreeRouting - Freerouting application is started.
2023-02-07 08:25:56.937 [main] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'MainApplication.main()' was performed in 1.60 seconds.
2023-02-07 08:41:51.453 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'AVR Prototype.dsn'...
2023-02-07 08:41:52.461 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'AVR Prototype.rules'...
2023-02-07 08:42:00.968 [AWT-EventQueue-0] WARN  eu.mihosoft.freerouting.FreeRouting - RulesFile.read: design_name not matching
2023-02-07 08:42:44.282 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:42:44.342 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 0.05 seconds.
2023-02-07 08:42:49.032 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:42:49.049 [Thread-1] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 0.01 seconds.
2023-02-07 08:43:16.267 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:43:16.282 [Thread-2] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 0.01 seconds.
2023-02-07 08:43:42.367 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'AVR Prototype.dsn'...
2023-02-07 08:43:42.968 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'AVR Prototype.rules'...
2023-02-07 08:43:47.403 [AWT-EventQueue-0] WARN  eu.mihosoft.freerouting.FreeRouting - RulesFile.read: design_name not matching
2023-02-07 08:45:18.651 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:45:18.662 [Thread-3] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 0.01 seconds.
2023-02-07 08:45:24.085 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:45:24.094 [Thread-4] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 0.01 seconds.
2023-02-07 08:45:33.585 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:45:33.594 [Thread-5] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 0.01 seconds.
2023-02-07 08:46:16.553 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'AVR Prototype.dsn'...
2023-02-07 08:46:17.125 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'AVR Prototype.rules'...
2023-02-07 08:46:20.570 [AWT-EventQueue-0] WARN  eu.mihosoft.freerouting.FreeRouting - RulesFile.read: design_name not matching
2023-02-07 08:49:04.589 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:49:04.600 [Thread-6] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 0.01 seconds.
2023-02-07 08:55:18.248 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:55:18.256 [Thread-7] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 0.01 seconds.
2023-02-07 08:55:33.397 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:55:33.405 [Thread-8] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 0.01 seconds.
2023-02-07 08:59:10.633 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'AVR Prototype.dsn'...
2023-02-07 08:59:11.198 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'AVR Prototype.rules'...
2023-02-07 08:59:11.199 [AWT-EventQueue-0] ERROR eu.mihosoft.freerouting.FreeRouting - File 'AVR Prototype.rules' was not found.
2023-02-07 08:59:20.549 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:23.582 [Thread-9] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #1 on board 'fc98c4ad5928c10214631ba1baa5438f' making 205 changes' was performed in 2.98 seconds.
2023-02-07 08:59:24.206 [Thread-9] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #2 on board '443cdd1ed38a7ffdd4f2b88b6a80a5d4' making 34 changes' was performed in 0.60 seconds.
2023-02-07 08:59:24.231 [Thread-9] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #3 on board 'cc0b07734fb99d5276c35b0a23a79729' making 0 changes' was performed in 0.01 seconds.
2023-02-07 08:59:24.243 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.279 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.354 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.424 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.470 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.504 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.536 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.591 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.636 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.688 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.754 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.785 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.826 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.894 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.925 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:24.980 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.049 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.090 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.133 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.158 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.200 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.259 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.301 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.384 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.423 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.488 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.539 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.585 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.610 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.712 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.752 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.793 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.847 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.887 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:25.988 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.108 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.154 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.199 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.231 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.335 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.416 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.445 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.484 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.522 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.549 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.577 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.616 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.939 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:26.968 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:27.002 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:27.033 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:27.072 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:27.103 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:27.130 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:27.181 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:27.209 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2023-02-07 08:59:27.243 [Thread-9] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
